breadth,ic,alpha,cost_bps,excess_net,se,sharpe_net,sharpe_gross,excess_vs_rebal,turnover,ic_achieved,n,t
10,0.0,0.0,0.0,0.0,0.0,0.5206523383275273,0.5206523383275273,-0.0008729006308826516,3.4808491448009196e-17,0.0030708352576540665,40,0.0
10,0.0,0.0,10.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0009528766532065101,3.4808491448009196e-17,0.0030708352576540665,40,0.0
10,0.0,0.0,25.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0036915610916253895,3.4808491448009196e-17,0.0030708352576540665,40,0.0
10,0.0,0.0,50.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.008256083656621508,3.4808491448009196e-17,0.0030708352576540665,40,0.0
10,0.0,0.025,0.0,0.00048238156757335007,0.002015581204547197,0.5211347198951006,0.5211347198951006,-0.00039051906330930147,0.009079053070570654,0.0030708352576540665,40,0.23932628786430746
10,0.0,0.025,10.0,-0.0009912122073343255,0.00201870519604513,0.519661126120193,0.5211347198951006,-3.833555412781509e-05,0.009079053070570654,0.0030708352576540665,40,-0.4910138485184569
10,0.0,0.025,25.0,-0.0032016004796081832,0.002023495683275429,0.5174507378479192,0.5211347198951006,0.0004899606120172065,0.009079053070570654,0.0030708352576540665,40,-1.5822126560832381
10,0.0,0.025,50.0,-0.006885574441631813,0.0020317563074045007,0.5137667638858956,0.5211347198951006,0.0013705092149896938,0.009079053070570654,0.0030708352576540665,40,-3.3889765305701935
10,0.0,0.05,0.0,0.0007618014074002824,0.002377509842314568,0.5214141397349276,0.5214141397349276,-0.00011109922348236907,0.018186640907480445,0.0030708352576540665,40,0.32041987538467936
10,0.0,0.05,10.0,-0.0021895093236587427,0.0023843235629372093,0.5184628290038685,0.5214141397349276,-0.0012366326704522327,0.018186640907480445,0.0030708352576540665,40,-0.9182937071516929
10,0.0,0.05,25.0,-0.006616471998971853,0.002394903349811929,0.5140358663285555,0.5214141397349276,-0.0029249109073464625,0.018186640907480445,0.0030708352576540665,40,-2.762730278652557
10,0.0,0.05,50.0,-0.01399473304054459,0.002413480151081294,0.5066576052869827,0.5214141397349276,-0.005738649383923084,0.018186640907480445,0.0030708352576540665,40,-5.798569768338319
10,0.0,0.1,0.0,0.0007049722999706565,0.002820876356908968,0.521357310627498,0.521357310627498,-0.00016792833091199504,0.03666118137796236,0.0030708352576540665,40,0.24991251326702743
10,0.0,0.1,10.0,-0.005242826953241232,0.002834451160858301,0.5154095113742861,0.521357310627498,-0.004289950300034722,0.03666118137796236,0.0030708352576540665,40,-1.8496797636314362
10,0.0,0.1,25.0,-0.01416454080078372,0.0028560976874609178,0.5064877975267436,0.521357310627498,-0.01047297970915833,0.03666118137796236,0.0030708352576540665,40,-4.959403476628299
10,0.0,0.1,50.0,-0.029034095161407765,0.002895513538548203,0.4916182431661196,0.521357310627498,-0.02077801150478626,0.03666118137796236,0.0030708352576540665,40,-10.027269696678857
10,0.0,0.2,0.0,0.0006579516338910084,0.003480668983818657,0.5213102899614184,0.5213102899614184,-0.00021494899699164312,0.07475637438372255,0.0030708352576540665,40,0.18903022291110452
10,0.0,0.2,10.0,-0.011460729796580391,0.0035030671766976117,0.5091916085309469,0.5213102899614184,-0.01050785314337388,0.07475637438372255,0.0030708352576540665,40,-3.271627182263908
10,0.0,0.2,25.0,-0.029638907371439253,0.003541141859924168,0.4910134309560881,0.5213102899614184,-0.025947346279813866,0.07475637438372255,0.0030708352576540665,40,-8.36987292344
10,0.0,0.2,50.0,-0.05993619601807887,0.003616108542999469,0.46071614230944846,0.5213102899614184,-0.051680112361457364,0.07475637438372255,0.0030708352576540665,40,-16.574777915367367
10,0.0,0.35,0.0,0.0009426326286379394,0.004237878610890019,0.5215949709561652,0.5215949709561652,6.973199775528772e-05,0.13523849185776335,0.0030708352576540665,40,0.222430304212978
10,0.0,0.35,10.0,-0.020939377625511034,0.004267707144432604,0.4997129607020163,0.5215949709561652,-0.019986500972304522,0.13523849185776335,0.0030708352576540665,40,-4.9064701294762685
10,0.0,0.35,25.0,-0.053763132497973466,0.004324317360195443,0.46688920582955384,0.5215949709561652,-0.05007157140634808,0.13523849185776335,0.0030708352576540665,40,-12.432744412529328
10,0.0,0.35,50.0,-0.1084707079557053,0.004448890296089981,0.41218163037182204,0.5215949709561652,-0.10021462429908379,0.13523849185776335,0.0030708352576540665,40,-24.381520050300523
10,0.0,0.5,0.0,0.0010904740517755428,0.004941498709852167,0.5217428123793029,0.5217428123793029,0.0002175734208928911,0.20069769147675204,0.0030708352576540665,40,0.2206767856888029
10,0.0,0.5,10.0,-0.031309144450227054,0.004978667515030002,0.4893431938773003,0.5217428123793029,-0.030356267797020543,0.20069769147675204,0.0030708352576540665,40,-6.2886594366280715
10,0.0,0.5,25.0,-0.07991019749521079,0.005055779962922476,0.44074214083231655,0.5217428123793029,-0.0762186364035854,0.20069769147675204,0.0030708352576540665,40,-15.805711103182382
10,0.0,0.5,50.0,-0.16091377420470393,0.005238224404887541,0.3597385641228234,0.5217428123793029,-0.1526576905480824,0.20069769147675204,0.0030708352576540665,40,-30.71914484124866
10,0.0,0.75,0.0,0.0001319995666487283,0.006158069704828925,0.520784337894176,0.520784337894176,-0.0007409010642339231,0.3248498567085675,0.0030708352576540665,40,0.021435218010802837
10,0.0,0.75,10.0,-0.052051139206242006,0.00621552891016827,0.4686011991212854,0.520784337894176,-0.05109826255303549,0.3248498567085675,0.0030708352576540665,40,-8.374370059012861
10,0.0,0.75,25.0,-0.13033130696346237,0.006341103123086488,0.39032103136406493,0.520784337894176,-0.126639745871837,0.3248498567085675,0.0030708352576540665,40,-20.5534123059687
10,0.0,0.75,50.0,-0.26080021948723775,0.00664841906072039,0.2598521188402896,0.520784337894176,-0.25254413583061625,0.3248498567085675,0.0030708352576540665,40,-39.22740385425986
10,0.0,1.0,0.0,-0.0023790364660839377,0.007592235970508035,0.5182733018614434,0.5182733018614434,-0.0032519370969665896,0.4782965289868376,0.0030708352576540665,40,-0.3133512281922323
10,0.0,1.0,10.0,-0.07867367860901403,0.007672212543472885,0.44197865971851324,0.5182733018614434,-0.07772080195580752,0.4782965289868376,0.0030708352576540665,40,-10.254366411674225
10,0.0,1.0,25.0,-0.19313168908366118,0.00785514359542352,0.32752064924386615,0.5182733018614434,-0.1894401279920358,0.4782965289868376,0.0030708352576540665,40,-24.5866529029694
10,0.0,1.0,50.0,-0.38389411377517374,0.008315587737503911,0.1367582245523536,0.5182733018614434,-0.37563803011855224,0.4782965289868376,0.0030708352576540665,40,-46.16560198671022
10,0.02,0.0,0.0,0.0,0.0,0.5206523383275273,0.5206523383275273,-0.0008729006308826516,3.4808491448009196e-17,0.02078983295816666,40,0.0
10,0.02,0.0,10.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0009528766532065101,3.4808491448009196e-17,0.02078983295816666,40,0.0
10,0.02,0.0,25.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0036915610916253895,3.4808491448009196e-17,0.02078983295816666,40,0.0
10,0.02,0.0,50.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.008256083656621508,3.4808491448009196e-17,0.02078983295816666,40,0.0
10,0.02,0.025,0.0,0.0012933841037662183,0.0020081435778284418,0.5219457224312936,0.5219457224312936,0.0004204834728835669,0.009080772619899227,0.02078983295816666,40,0.6440695366836533
10,0.02,0.025,10.0,-0.00018051382205454383,0.002011239665398383,0.5204718245054728,0.5219457224312936,0.0007723628311519664,0.009080772619899227,0.02078983295816666,40,-0.08975251689797395
10,0.02,0.025,25.0,-0.002391358275989402,0.0020159888589528956,0.518260980051538,0.5219457224312936,0.0013002028156359874,0.009080772619899227,0.02078983295816666,40,-1.1861961763178956
10,0.02,0.025,50.0,-0.006076092421080271,0.0020241821574475357,0.514576245906447,0.5219457224312936,0.002179991235541236,0.009080772619899227,0.02078983295816666,40,-3.001751793298156
10,0.02,0.05,0.0,0.002402824631769999,0.0023664111675823865,0.5230551629592973,0.5230551629592973,0.0015299240008873477,0.01819056215672592,0.02078983295816666,40,1.015387631991618
10,0.02,0.05,10.0,-0.0005491721295519692,0.0023731517054610385,0.5201031661979754,0.5230551629592973,0.0004037045236545411,0.01819056215672592,0.02078983295816666,40,-0.23141046073381139
10,0.02,0.05,25.0,-0.0049771639111738835,0.002383624241981982,0.5156751744163535,0.5230551629592973,-0.001285602819548494,0.01819056215672592,0.02078983295816666,40,-2.0880656537690583
10,0.02,0.05,50.0,-0.012357140288490626,0.002402029008265707,0.5082951980390367,0.5230551629592973,-0.004101056631869121,0.01819056215672592,0.02078983295816666,40,-5.144459224250845
10,0.02,0.1,0.0,0.004010680233866479,0.002804795052919869,0.5246630185613939,0.5246630185613939,0.0031377796029838276,0.036670999592836886,0.02078983295816666,40,1.4299370036649381
