breadth,ic,cost_bps,alpha_star,excess_net,se,t,turnover
10,0.0,0.0,0.5,0.0010904740517755428,0.004941498709852167,0.2206767856888029,0.20069769147675204
10,0.0,10.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.0,25.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.0,50.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.02,0.0,1.0,0.029942940641633366,0.0075687796206781914,3.9561121002688626,0.4784113088820174
10,0.02,10.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.02,25.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.02,50.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.05,0.0,1.0,0.07848505461005996,0.007535952408897154,10.414749238251336,0.4785898239512588
10,0.05,10.0,0.5,0.009684298011832737,0.004929089718918986,1.9647234203634318,0.20083022253167687
10,0.05,25.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.05,50.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.1,0.0,1.0,0.15974920426404174,0.007499243104210439,21.30204369216285,0.4788640148978339
10,0.1,10.0,1.0,0.0833379054930894,0.007500797959921328,11.11053863047439,0.4788640148978339
10,0.1,25.0,0.35,0.003908824135570051,0.0042247799808019385,0.9252136568844672,0.13541392111312325
10,0.1,50.0,0.0,0.0,0.0,0.0,3.4808491448009196e-17
10,0.2,0.0,1.0,0.32488628985371515,0.007486320466361963,43.397326004612815,0.4793053053676897
10,0.2,10.0,1.0,0.2483388045072767,0.007402408345369326,33.54837951659723,0.4793053053676897
10,0.2,25.0,1.0,0.13348702786626077,0.007349328641420005,18.163159436624266,0.4793053053676897
10,0.2,50.0,0.35,0.007659829479415811,0.004194696688437607,1.8260746958247551,0.1355631334448385
25,0.0,0.0,0.5,0.004005829196397975,0.003156939142369766,1.2688965531945564,0.19886961394104755
25,0.0,10.0,0.025,0.0003801619526762719,0.0015641586471107016,0.24304564845676194,0.008951562506555221
25,0.0,25.0,0.0,0.0,0.0,0.0,3.6669976227985774e-17
25,0.0,50.0,0.0,0.0,0.0,0.0,3.6669976227985774e-17
25,0.02,0.0,1.0,0.040735708425073174,0.004782074460102447,8.518417846676625,0.47558778208740654
25,0.02,10.0,0.05,0.0014931502372502723,0.0017785093863386188,0.8395515079761207,0.017930243693977464
25,0.02,25.0,0.0,0.0,0.0,0.0,3.6669976227985774e-17
25,0.02,50.0,0.0,0.0,0.0,0.0,3.6669976227985774e-17
25,0.05,0.0,1.0,0.09688214300114115,0.004709003718588582,20.573808981866634,0.47567201295663847
25,0.05,10.0,0.75,0.021322547423089554,0.003829091886323798,5.5685650948326355,0.32277264534670513
25,0.05,25.0,0.025,0.0004656703583654878,0.001559478200364222,0.2986065199607976,0.008956503489959376
25,0.05,50.0,0.0,0.0,0.0,0.0,3.6669976227985774e-17
25,0.1,0.0,1.0,0.19056413790789906,0.004649524527077773,40.98572591629463,0.4758241632518752
25,0.1,10.0,1.0,0.11268537449047762,0.004626870954690594,24.35455312974318,0.4758241632518752
25,0.1,25.0,0.5,0.016122563983277376,0.00307197940521221,5.2482656478498235,0.19907866994673523
25,0.1,50.0,0.0,0.0,0.0,0.0,3.6669976227985774e-17
25,0.2,0.0,1.0,0.37899831859796074,0.004800173112809012,78.9551355109722,0.4762144763289635
25,0.2,10.0,1.0,0.30101010561036523,0.004615104404245923,65.22281605014919,0.4762144763289635
25,0.2,25.0,1.0,0.18402236744799028,0.004461798728928919,41.24398670313081,0.4762144763289635
25,0.2,50.0,0.5,0.028447591980161623,0.0029958632592602475,9.495624305358328,0.19929882103101854
50,0.0,0.0,0.0,0.0,0.0,0.0,4.4958204910641735e-17
