name,ann_return,ann_vol,sharpe_gross,sharpe_10bps,sharpe_25bps,turnover_wk,max_drawdown,dsr_gross
dr_net_learn_theta,0.26616435179093245,0.17856757880416715,1.4136065783299963,1.3112421469136308,1.1570067372655348,0.17797354842671162,-0.20788064949022367,0.9991909722545489
dr_net,0.22468262658878757,0.16486901592039482,1.3143076903016788,1.2383891999004024,1.1238008508413808,0.12383691247084071,-0.22381392112163145,0.9974673059823299
polab_risk_parity,0.14686683868343176,0.13668597867944363,1.073001224111858,1.0641737533017863,1.0509324956530481,0.011558535205911425,-0.26902501489964503,0.9793359512179162
polab_max_sharpe,0.17491340684683454,0.15592142526444355,1.1136424401997855,1.0623554202483882,0.9854013665317853,0.07685016557803163,-0.22144632098037165,0.9881873477848145
ew_net,0.15631031676153717,0.14905326516214465,1.0510526572186905,1.0441696843711479,1.0338452192407974,0.009843483859259075,-0.3041427880221591,0.9778464377813222
polab_equal_weight,0.15631031676153717,0.14905326516214465,1.0510526572186905,1.0441696843711479,1.0338452192407979,0.009843483859259075,-0.3041427880221591,0.9778464377813221
nom_net,0.23330818805108167,0.19429148728144535,1.1784714458648062,0.9973646451314423,0.7254964106472529,0.3378791737564502,-0.29591710429425777,0.9939007643474818
polab_min_variance,0.11953341768189585,0.13001573881894984,0.9351129903497347,0.9066728105586249,0.8639928580245873,0.035542181810435655,-0.22484583138435332,0.9555964320225522
dr_net_learn_delta,0.12605462221908792,0.12786446083232478,0.9937228717127659,0.7496054100828007,0.38226185936628576,0.3010381751992665,-0.17136329419970175,0.9725692756553501
base_net,0.1605668759726393,0.24978095530948402,0.7207345245738203,0.6917304690572331,0.6480580891019436,0.0682819820941856,-0.4127029135785213,0.8920681183420087
dr_net_learn_gamma,0.1364201208333835,0.13390519436320722,1.0233138691971593,0.674671002626576,0.150229597616643,0.44975534324312844,-0.17262101938935814,0.9782116112970685
po_net,0.1341121346413794,0.1531058323194805,0.8994950850488628,0.5080348410978448,-0.07824073410551696,0.5758598430068926,-0.2413625023697059,0.9551931139704548
