name,sharpe_gross,sharpe_net50,ann_return_net,max_drawdown,turnover_rebal,eff_positions,mde
SPY B&H,0.8996309247647238,0.8996309247647238,0.1550711115877761,-0.33717254572193545,0.0,1.0,0.54
risk_parity,0.8403011167340202,0.8285012472528295,0.1301957161972811,-0.35616590603095355,0.015891797058431318,8.448981657082783,0.21
1/N,0.8310297136756107,0.8219965672114626,0.13482206218655746,-0.3667988834108602,0.012795641416704067,8.993815581751242,0.21
min_variance,0.7554808727030321,0.7036365591266976,0.09624551977131435,-0.3281936357276878,0.06216547344322746,3.702453293060801,0.37
max_sharpe,0.8189972422804517,0.6704222751119848,0.1219719521816669,-0.3255179631973789,0.27107115466250364,2.325870425725985,0.37
PtO,0.9145963541909871,0.48991904742228626,0.09152992301669616,-0.3754938920132762,1.0,1.0,0.54
SPO+,0.8575895767941909,0.4466839527642036,0.08027379303921989,-0.4393372334769051,1.0,1.0,0.54
SPO+ (l2),0.701147458481641,0.33311349226661324,0.04810504462143861,-0.35409024016196544,0.6111975464545408,3.7963693027799232,0.37
