,ew_net,po_net,base_net,nom_net,dr_net,dr_net_learn_delta,dr_net_learn_gamma,dr_net_learn_theta,polab_equal_weight,polab_min_variance,polab_max_sharpe,polab_risk_parity
2013-01-25,0.007796114094065699,-0.010214694025747054,-0.0208973552355043,-0.055325935840990485,-0.03988645342672644,0.005402309542056381,0.0007559528519471789,-0.043130322040891345,0.007796114094065699,0.006162481869774172,-0.003955865901893579,0.0049761623012279255
2013-02-01,0.010016938863696413,0.00975437198050359,0.04090813727036239,0.000955885734405899,-0.019529990935417286,0.01279229624547938,0.01760616372436149,-0.030562334114190973,0.010016938863696413,0.007172233247275632,0.01934623301199371,0.011016839648603463
2013-02-08,0.0010099983944639895,0.009087839551618192,-0.026535328503711198,0.014504170564651421,0.01828134510727679,0.008245602377366087,0.008329829531931895,0.01787572556101234,0.0010099983944639906,0.005274849578040507,-0.007716623887881702,0.0016155928703053299
2013-02-15,0.001642653724304899,0.00039467071840326435,-0.012803302855755322,-0.015112441110436033,-0.013026795070826875,-0.0038913582508478526,-0.003072572018143673,-0.008708017978087087,0.0016426537243049,-0.0035366493824332077,-0.0018078027859185354,-0.0017084374281141708
2013-02-22,-0.007138843363935516,0.010440933053974786,-0.04256876659287115,-0.006676700403165331,-0.0012572608317542846,0.017117736822539,0.014847351683389113,-0.0017618780609846396,-0.007138843363935517,0.012572110767435214,0.006712646439057626,-3.8210149415345875e-05
2013-03-01,0.0010119718786791138,0.001270166846708649,-0.0019663534635220256,-0.008936206928791181,0.00025234597595652497,0.006806884961534382,0.006585478827661704,-7.055977718300805e-05,0.001011971878679114,0.007413756890571248,0.006429874654504742,0.003819571038236458
2013-03-08,0.02367743738417237,0.01335805062210264,-0.009303849044523993,0.014082944829035701,0.01953486162243796,0.011877906104960523,0.012386583047742483,0.016849839062194633,0.02367743738417237,0.013400308671460758,0.02097705907656473,0.018842979679000154
2013-03-15,0.0033211238743673546,0.011653281773718872,-0.01856148368637589,0.008697320147444083,0.021318679168885683,0.008310815834933037,0.009722591935304128,0.028016508165333815,0.003321123874367354,0.008120670968153106,-0.0022186053831165613,0.0037882189441532975
2013-03-22,0.00028348951921212126,0.004611711337119805,-0.015197567315771512,0.01141103584956863,0.00945961602938821,0.0074065997001607565,0.007164121490239497,0.005800745318246793,0.0002834895192121217,0.007420295353207109,0.01241661048911099,0.005970025923969469
2013-03-29,0.005862855593993682,0.009999295205570947,-0.005829903491782171,-0.00025788700206629336,0.018382796231118947,0.01702179386755944,0.013119364289737602,0.026379955876550856,0.005862855593993682,0.01985064342711266,0.01265975259078132,0.010265811114385147
2013-04-05,-0.008060119585416765,-0.0019168969573166335,-0.027250774404005043,-0.01790746247486946,-0.01287227986727001,0.00461354540653526,0.00489143004100683,-0.024102490406211406,-0.008060119585416765,0.0035868973832135806,0.008373264872691383,-0.0033993072929091508
2013-04-12,0.021086993887860752,0.012243860799899104,0.00531915023474538,0.013844627646640583,0.02251832524797521,0.011340342758748127,0.014396721072160227,0.02502169029820601,0.021086993887860755,0.00862535775370424,0.019131675858444504,0.017517759893208383
2013-04-19,-0.020454754254913353,-0.02569333781534719,-0.04820921527687501,-0.04259524126185193,-0.029833355580508845,-0.014836312949953847,-0.032308108651061776,-0.029400573507483544,-0.02045475425491335,-0.005293190509801184,-0.0014482802121134394,-0.014781341058573759
